1;Kilimandjaro;Adultes;C32;G7;F3;S88;DV133;DR56;R45;R46;;P12;O2;
2;NorthPole;Adultes;C34;G7;F3;S88;DV17;DR87;R48;R47;;P12;;
3;MontBlanc;Jeunes;C76;G7;F3;S88;DV17;DR87;R48;R47;;P12;O2;
4;Hooligan;Jeunes;C76;G7;F3;S88;DV87;DR86;R12;R32;;P12;;
5;Orleans;Hommes;C43;G9;F9;S37;DV57;DR86;R19;R18;R02;P34;;
6;Orleans;Dames;C44f;G9;F9;S35;DV57;DR86;R19;R18;R02;P34;;
7;BlueJay;Hommes;C43;G9;F9;S37;DV57;DR87;R19;R18;R02;P34;O4;
8;BlueJay;Dames;C43f;G9;F9;S35;DV57;DR87;R19;R18;R02;P34;O4;
9;Trail Explorer;Filles;C01;G12;;S02;;;R1;R2;R09;P1;;S01
10;Trail Explorer;Garcons;C02;G12;;S03;;;R1;R2;R09;P1;;S05
11;Night Hawk;Jeunes;C15;G12;F9;S36;DV15;DR23;R11;R12;R10;P15;;S74
12;Tierra Verde;Hommes;C87;G12;F9;S36;DV41;DR76;R11;R12;R10;P15;;S74
13;Tierra Verde;Dames;C87f;G12;F9;S34;DV41;DR76;R11;R12;R10;P15;;S73
14;Mud Zinger I;Jeunes;C25;G7;F3;S87;DV132;DR52;R44;R47;;P12;;
15;Mud Zinger II;Adultes;C26;G7;F3;S87;DV133;DR52;R44;R47;;P12;;
